"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API Testing Portfolio","Usuarios - Eliminación (DELETE)","Baja de usuario","0","0","1","0","0"
"API Testing Portfolio","Usuarios - Creación (POST)","Alta de usuario - Data Driven","0","0","7","0","0"
"API Testing Portfolio","Usuarios - Actualización (PUT)","Actualización de usuario","0","0","7","0","0"
"API Testing Portfolio","Usuarios - Actualización (PUT)","Manejo de errores - Recurso no encontrado","0","0","1","0","0"
"API Testing Portfolio","Usuarios - Aislamiento (Mocking)","Manejo de Errores del Servidor","0","0","1","0","0"
"API Testing Portfolio","Usuarios - Creación (POST)","Manejo de errores - Payload Inválido","0","0","1","0","0"
"API Testing Portfolio","Usuarios - Eliminación (DELETE)","Manejo de errores - Recurso no encontrado","0","0","1","0","0"
"API Testing Portfolio","Usuarios - Consulta (GET)","Listado de usuarios - Data Driven","0","0","2","0","0"
"API Testing Portfolio","Usuarios - Aislamiento (Mocking)","Manejo de Latencia","0","0","1","0","0"
"API Testing Portfolio","Usuarios - Aislamiento (Mocking)","Manejo de Datos Corruptos","0","0","1","0","0"
"API Testing Portfolio","Usuarios - Consulta (GET)","Detalle de usuario","0","0","1","0","0"
"API Testing Portfolio","Usuarios - Consulta (GET)","Manejo de errores","0","0","1","0","0"
