"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 12 01:59:07 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","228","","com.portfolio.api.tests.DeleteUserTest","","com.portfolio.api.tests.DeleteUserTest","deberiaEliminarUnUsuario","deberiaEliminarUnUsuario()","Verifica que DELETE /users/{id} responda 204 No Content, confirmando que la operación se procesó correctamente."
"passed","Sat Sep 12 01:59:09 UTC 2026","Sat Sep 12 01:59:09 UTC 2026","195","","com.portfolio.api.tests.CreateUserTest","","com.portfolio.api.tests.CreateUserTest","deberiaCrearUsuariosConDiversosDatos","deberiaCrearUsuariosConDiversosDatos(String, String) Crear usuario: null, QA Automation Engineer","Valida que la API acepte diversas combinaciones de nombre y job, siempre respondiendo 201 (comportamiento actual de ReqRes)."
"passed","Sat Sep 12 01:59:09 UTC 2026","Sat Sep 12 01:59:09 UTC 2026","184","","com.portfolio.api.tests.UpdateUserTest","","com.portfolio.api.tests.UpdateUserTest","deberiaActualizarElJobDeUnUsuario","deberiaActualizarElJobDeUnUsuario(String, String) Actualizar usuario: null, QA Automation Engineer","Envía PUT /users/{id} con un nuevo job y valida que la respuesta refleje el cambio y traiga un updatedAt."
"passed","Sat Sep 12 01:59:08 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","236","","com.portfolio.api.tests.UpdateUserTest","","com.portfolio.api.tests.UpdateUserTest","deberiaActualizarElJobDeUnUsuario","deberiaActualizarElJobDeUnUsuario(String, String) Actualizar usuario: Diego Caldas, null","Envía PUT /users/{id} con un nuevo job y valida que la respuesta refleje el cambio y traiga un updatedAt."
"passed","Sat Sep 12 01:59:04 UTC 2026","Sat Sep 12 01:59:07 UTC 2026","2766","","com.portfolio.api.tests.UpdateUserTest","","com.portfolio.api.tests.UpdateUserTest","deberiaActualizarElJobDeUnUsuario","deberiaActualizarElJobDeUnUsuario(String, String) Actualizar usuario: , ","Envía PUT /users/{id} con un nuevo job y valida que la respuesta refleje el cambio y traiga un updatedAt."
"passed","Sat Sep 12 01:59:09 UTC 2026","Sat Sep 12 01:59:09 UTC 2026","329","","com.portfolio.api.tests.UpdateUserTest","","com.portfolio.api.tests.UpdateUserTest","deberiaResponder404ParaUsuarioInexistenteAlActualizar","deberiaResponder404ParaUsuarioInexistenteAlActualizar()","Envía PUT /users/{id} con un id inexistente y valida la respuesta."
"passed","Sat Sep 12 01:59:08 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","685","","com.portfolio.api.tests.MockedUserTest","","com.portfolio.api.tests.MockedUserTest","deberiaManejarError500CuandoLaApiFalla","deberiaManejarError500CuandoLaApiFalla()","Simula un error 500 Internal Server Error y valida que el framework lo capture."
"passed","Sat Sep 12 01:59:05 UTC 2026","Sat Sep 12 01:59:07 UTC 2026","1654","","com.portfolio.api.tests.CreateUserTest","","com.portfolio.api.tests.CreateUserTest","deberiaResponder400ParaJsonMalFormado","deberiaResponder400ParaJsonMalFormado()","Envía un cuerpo que no es JSON válido para validar que la API responda con error 400."
"passed","Sat Sep 12 01:59:08 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","362","","com.portfolio.api.tests.CreateUserTest","","com.portfolio.api.tests.CreateUserTest","deberiaCrearUsuariosConDiversosDatos","deberiaCrearUsuariosConDiversosDatos(String, String) Crear usuario: !@#$%^&*()_+, SpecialChars","Valida que la API acepte diversas combinaciones de nombre y job, siempre respondiendo 201 (comportamiento actual de ReqRes)."
"passed","Sat Sep 12 01:59:04 UTC 2026","Sat Sep 12 01:59:07 UTC 2026","3462","","com.portfolio.api.tests.DeleteUserTest","","com.portfolio.api.tests.DeleteUserTest","deberiaResponder404ParaUsuarioInexistenteAlEliminar","deberiaResponder404ParaUsuarioInexistenteAlEliminar()","Envía DELETE /users/{id} con un id inexistente y valida la respuesta."
